code_postal;nb_annonces;loyer_moyen;loyer_m2_moyen
27180.0;2;1125.0;9.23
27200.0;38;779.0;14.96
27220.0;1;600.0;23.08
27300.0;25;713.48;11.36
27400.0;50;856.98;12.84
27490.0;1;1450.0;14.22
27500.0;21;563.86;13.31
27930.0;5;1143.6;14.21
28000.0;218;711.78;15.15
28100.0;48;699.35;14.23
28110.0;43;647.47;13.22
28130.0;2;797.5;12.86
28200.0;5;423.0;15.45
28300.0;7;685.0;14.64
28400.0;3;431.67;14.07
28600.0;5;722.0;15.48
28630.0;2;710.0;11.09
29000.0;141;602.5;16.28
29100.0;6;692.17;11.06
29120.0;5;625.4;14.34
29150.0;1;535.0;12.74
29200.0;845;640.54;15.75
29260.0;1;950.0;8.64
29300.0;4;868.75;10.41
29400.0;7;530.0;17.3
29470.0;1;500.0;16.13
29490.0;1;385.0;2.03
29600.0;7;493.0;17.8
29720.0;4;921.25;11.47
29730.0;1;595.0;10.26
29750.0;1;320.0;21.33
29900.0;5;803.6;13.64
29950.0;1;890.0;7.01
30000.0;537;629.3;16.44
30100.0;192;608.38;12.44
30128.0;2;960.0;12.34
30130.0;22;552.32;9.65
30133.0;19;726.16;17.75
30200.0;70;594.37;13.43
30240.0;6;645.33;21.29
30300.0;23;774.61;12.19
30330.0;1;500.0;13.51
30400.0;16;782.0;15.68
30510.0;4;1185.0;9.57
30600.0;9;753.44;14.49
30620.0;2;1420.0;14.98
30640.0;1;1290.0;10.08
30650.0;3;1183.33;11.42
30660.0;1;760.0;7.6
30700.0;15;689.47;15.39
30730.0;1;2000.0;11.98
30800.0;1;450.0;18.75
30900.0;119;633.75;17.37
31000.0;310;814.51;23.57
31100.0;7;687.29;15.0
31130.0;16;829.31;19.03
31140.0;50;866.56;13.77
31150.0;3;713.33;12.86
31170.0;48;1005.23;13.44
31190.0;8;661.0;13.75
31200.0;26;770.5;16.47
31240.0;19;913.53;14.65
31250.0;21;542.81;11.79
31270.0;49;824.31;12.72
31300.0;19;815.05;19.55
31320.0;49;571.35;15.86
31330.0;5;1154.0;9.52
31390.0;4;651.75;11.29
31400.0;37;775.41;19.47
31440.0;2;575.0;8.35
31490.0;14;745.21;13.7
31500.0;15;798.33;20.25
